filename,width,height,class,xmin,ymin,xmax,ymax
81.jpg,1280,960,G1,523,159,736,370
85.jpg,1280,960,G1,613,185,810,383
39.jpg,1280,960,G1,547,314,728,494
82.jpg,1280,960,G1,586,257,789,435
93.jpg,1280,960,G1,619,353,763,522
24.jpg,1280,960,G1,547,335,702,533
41.jpg,1280,960,G1,486,587,671,731
83.jpg,1280,960,G1,604,251,808,431
71.jpg,1280,960,G1,597,390,778,561
68.jpg,1280,960,G1,545,496,732,631
92.jpg,1280,960,G1,634,351,771,505
44.jpg,1280,960,G1,541,590,730,737
6.jpg,1280,960,G1,547,224,765,429
56.jpg,1280,960,G1,393,301,556,470
55.jpg,1280,960,G1,600,335,778,520
38.jpg,1280,960,G1,610,383,786,535
37.jpg,1280,960,G1,480,385,673,531
49.jpg,1280,960,G1,495,485,689,633
8.jpg,1280,960,G1,634,259,826,451
18.jpg,1280,960,G1,650,387,858,559
100.jpg,1280,960,G1,650,366,793,509
75.jpg,1280,960,G1,491,396,686,533
97.jpg,1280,960,G1,660,370,789,520
65.jpg,1280,960,G1,606,487,789,657
26.jpg,1280,960,G1,495,327,645,520
40.jpg,1280,960,G1,554,368,726,529
94.jpg,1280,960,G1,621,351,767,516
33.jpg,1280,960,G1,576,385,752,537
50.jpg,1280,960,G1,502,272,686,440
43.jpg,1280,960,G1,700,464,843,629
7.jpg,1280,960,G1,639,224,830,437
99.jpg,1280,960,G1,656,361,802,501
58.jpg,1280,960,G1,547,422,693,605
95.jpg,1280,960,G1,619,344,786,487
89.jpg,1280,960,G1,597,120,793,311
45.jpg,1280,960,G1,610,431,784,581
52.jpg,1280,960,G1,443,307,619,468
62.jpg,1280,960,G1,563,437,745,590
3.jpg,1280,960,G1,634,244,863,448
4.jpg,1280,960,G1,741,253,939,459
87.jpg,1280,960,G1,636,196,843,398
57.jpg,1280,960,G1,519,418,676,596
79.jpg,1280,960,G1,754,531,926,707
22.jpg,1280,960,G1,534,298,700,479
84.jpg,1280,960,G1,530,242,747,455
46.jpg,1280,960,G1,326,420,547,592
5.jpg,1280,960,G1,673,251,876,455
91.jpg,1280,960,G1,641,377,793,514
32.jpg,1280,960,G1,602,405,784,564
98.jpg,1280,960,G1,680,348,800,490
48.jpg,1280,960,G1,586,568,760,716
59.jpg,1280,960,G1,658,387,784,583
30.jpg,1280,960,G1,447,474,604,670
12.jpg,1280,960,G1,650,401,854,570
61.jpg,1280,960,G1,626,440,797,594
53.jpg,1280,960,G1,421,377,593,542
28.jpg,1280,960,G1,632,401,776,590
88.jpg,1280,960,G1,754,168,945,379
11.jpg,1280,960,G1,608,529,802,677
76.jpg,1280,960,G1,619,557,815,709
36.jpg,1280,960,G1,478,370,673,533
69.jpg,1280,960,G1,660,459,832,642
72.jpg,1280,960,G1,619,494,800,655
47.jpg,1280,960,G1,736,453,889,624
51.jpg,1280,960,G1,578,333,728,492
9.jpg,1280,960,G1,654,268,841,468
16.jpg,1280,960,G1,600,298,786,474
63.jpg,1280,960,G1,617,457,793,601
1.jpg,1280,960,G1,684,251,889,494
90.jpg,1280,960,G1,673,235,850,405
60.jpg,1280,960,G1,467,364,608,544
29.jpg,1280,960,G1,526,357,678,564
64.jpg,1280,960,G1,689,429,858,592
66.jpg,1280,960,G1,578,390,758,548
15.jpg,1280,960,G1,782,201,967,377
96.jpg,1280,960,G1,643,353,769,527
20.jpg,1280,960,G1,645,433,845,590
70.jpg,1280,960,G1,617,442,780,629
86.jpg,1280,960,G1,645,177,850,385
21.jpg,1280,960,G1,582,392,734,581
35.jpg,1280,960,G1,576,403,780,559
34.jpg,1280,960,G1,600,418,778,568
19.jpg,1280,960,G1,697,416,886,585
25.jpg,1280,960,G1,552,314,704,516
27.jpg,1280,960,G1,636,405,773,587
54.jpg,1280,960,G1,530,237,702,427
31.jpg,1280,960,G1,528,409,704,568
14.jpg,1280,960,G1,810,344,1013,520
73.jpg,1280,960,G1,623,359,786,522
78.jpg,1280,960,G1,610,444,800,629
