filename,width,height,class,xmin,ymin,xmax,ymax
1.jpg,1280,960,hand,684,255,889,494
10.jpg,1280,960,hand,689,264,878,520
11.jpg,1280,960,hand,567,444,765,624
12.jpg,1280,960,hand,617,453,797,644
13.jpg,1280,960,hand,673,433,863,618
14.jpg,1280,960,hand,606,483,808,681
15.jpg,1280,960,hand,563,390,786,583
16.jpg,1280,960,hand,519,437,736,624
17.jpg,1280,960,hand,554,494,771,670
18.jpg,1280,960,hand,643,455,845,677
19.jpg,1280,960,hand,610,446,800,661
2.jpg,1280,960,hand,676,216,906,455
20.jpg,1280,960,hand,615,437,813,633
3.jpg,1280,960,hand,630,240,878,490
4.jpg,1280,960,hand,728,253,943,507
5.jpg,1280,960,hand,671,248,891,490
6.jpg,1280,960,hand,552,220,786,481
7.jpg,1280,960,hand,636,229,845,474
8.jpg,1280,960,hand,619,264,830,483
9.jpg,1280,960,hand,663,277,852,494
