filename,width,height,class,xmin,ymin,xmax,ymax
12.jpg,1280,960,hand,617,453,797,644
6.jpg,1280,960,hand,552,220,786,481
15.jpg,1280,960,hand,563,390,786,583
19.jpg,1280,960,hand,610,446,800,661
11.jpg,1280,960,hand,567,444,765,624
4.jpg,1280,960,hand,728,253,943,507
13.jpg,1280,960,hand,673,433,863,618
7.jpg,1280,960,hand,636,229,845,474
16.jpg,1280,960,hand,519,437,736,624
10.jpg,1280,960,hand,689,264,878,520
3.jpg,1280,960,hand,630,240,878,490
1.jpg,1280,960,hand,684,255,889,494
9.jpg,1280,960,hand,663,277,852,494
8.jpg,1280,960,hand,619,264,830,483
